date,ticker,open,high,low,close,volume,price_adjusted
2019-06-11,^MXX,43758.87109375,43884.03125,43569.83984375,43713.66015625,146543700,43713.66015625
2019-06-12,^MXX,43770.8984375,43958.3984375,43593.25,43800.16015625,150009000,43800.16015625
2019-06-13,^MXX,43772.05078125,43848.390625,43326.578125,43483.19921875,149333100,43483.19921875
2019-06-14,^MXX,43496.78125,43503.16015625,42971.76171875,43130.6484375,92577500,43130.6484375
2019-06-17,^MXX,43088.23046875,43529.87109375,42908.7890625,42964.7109375,95463400,42964.7109375
2019-06-18,^MXX,42990.859375,43495.5390625,42987.46875,43161.05078125,122872600,43161.05078125
2019-06-19,^MXX,43215.5390625,43479.26171875,43208.171875,43375.671875,100286700,43375.671875
2019-06-20,^MXX,43552.48046875,43920.7890625,43470.19140625,43645.109375,127724600,43645.109375
2019-06-21,^MXX,43623.2890625,43828.0703125,43347.66015625,43526.73046875,476630200,43526.73046875
2019-06-24,^MXX,43568.21875,43790.28125,43546.6484375,43743.71875,98815300,43743.71875
2019-06-25,^MXX,43637.44921875,43926.4296875,43623.01953125,43792.171875,142482300,43792.171875
2019-06-26,^MXX,43813.37890625,43899.23046875,43682.21875,43792.078125,103345700,43792.078125
2019-06-27,^MXX,43872.26953125,43872.26953125,43278.55859375,43316.55859375,118861200,43316.55859375
2019-06-28,^MXX,43371,43416.6015625,43009.8515625,43161.171875,154407100,43161.171875
2019-07-01,^MXX,43218.1015625,43557.28125,43019.73046875,43438.23828125,104560400,43438.23828125
2019-07-02,^MXX,43503,43713.4296875,43361.9609375,43441.80078125,102358600,43441.80078125
2019-07-03,^MXX,43501.2890625,43567.87109375,43305.23046875,43483.23046875,74914400,43483.23046875
2019-07-04,^MXX,43487.3515625,43551.98046875,43412.48046875,43461.48046875,19660500,43461.48046875
2019-07-05,^MXX,43453.62890625,43521.078125,43137.9609375,43405.3203125,66632400,43405.3203125
2019-07-08,^MXX,43494.3984375,43763.98828125,43324.01171875,43589.078125,87785200,43589.078125
2019-07-09,^MXX,43508.140625,43628.9296875,42730.83984375,42818.66015625,134545100,42818.66015625
2019-07-10,^MXX,42977.4296875,43193.19921875,42668.9296875,42805.609375,168529100,42805.609375
2019-07-11,^MXX,42816.51171875,43017.171875,42617.48828125,42882.01953125,109282800,42882.01953125
2019-07-12,^MXX,42870.171875,42872.3515625,42452.94921875,42647.30859375,103417900,42647.30859375
2019-07-15,^MXX,42698.08984375,43144.73046875,42526.921875,43063.94921875,93360700,43063.94921875
2019-07-16,^MXX,43078.51953125,43167.078125,42700.96875,42984.96875,96273000,42984.96875
2019-07-17,^MXX,43070.4296875,43093.58984375,42496.05859375,42551.5390625,157485100,42551.5390625
2019-07-18,^MXX,42534.8515625,42541.5390625,41429.12109375,41618.109375,174501700,41618.109375
2019-07-19,^MXX,41684.328125,41960.55078125,41558.421875,41606.5390625,135676500,41606.5390625
2019-07-22,^MXX,41722.2109375,41768.5390625,41165,41209.3203125,96897500,41209.3203125
2019-07-23,^MXX,41210.01171875,41325.69140625,40727,40935.33984375,199768300,40935.33984375
2019-07-24,^MXX,40957.96875,41302.87109375,40917.94140625,41167.73828125,143648100,41167.73828125
2019-07-25,^MXX,41126.828125,41163.73046875,40785.921875,40933.4296875,157339600,40933.4296875
2019-07-26,^MXX,40932.41015625,41150.33984375,40625.55859375,40673.78125,140916800,40673.78125
2019-07-29,^MXX,40644.98828125,41394.44140625,40644.98828125,41276.671875,121563600,41276.671875
2019-07-30,^MXX,41238.1015625,41248.55859375,40862.9296875,41159.26953125,103670700,41159.26953125
2019-07-31,^MXX,41085.859375,41098.25,40540.96875,40863.08984375,224795200,40863.08984375
2019-08-01,^MXX,40816.98046875,40978.66015625,40302.91015625,40346.80078125,175951000,40346.80078125
2019-08-02,^MXX,40199.33984375,40199.33984375,39630.66015625,39977.51953125,175313900,39977.51953125
2019-08-05,^MXX,39807.01953125,39820.62109375,39279.51953125,39496.359375,211684500,39496.359375
2019-08-06,^MXX,39538.46875,39974.921875,39525.44140625,39785.62890625,194936300,39785.62890625
2019-08-07,^MXX,39578.03125,40471.73828125,39479.46875,40432.359375,208346600,40432.359375
2019-08-08,^MXX,40496.0703125,40699.8515625,40390.0390625,40439.421875,168753700,40439.421875
